WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93102|724885|NFL||||FALLON, NV|FALLON NAS|NAVAL PACIFIC METEOROLOGY AND*OCEANOGRAPHY DETACHMENT*NAVAL AIR STATION*FALLON  NV  89406-5000|39.25|-118.42|3934|3934|3940|
93104|746120|NID||||CHINA LAKE, CA||NAVAL PACIFIC METEOROLOGY AND*OCEANOGRAPHY DETACHMENT*NAVAL WEAPONS CENTER CODE 92*CHINA LAKE  CA  93555-6001|35.41|-117.41|2214|2283|2238|
93107|722930|NKX||||MIRAMAR, CA|MARINE CORPS AIR STATION|NAVAL PACIFIC METEOROLOGY AND*OCEANOGRAPHY DETACHMENT*NAVAL AIR STATION  MIRAMAR*SAN DIEGO  CA  92145-5851|32.52|-117.09|456|478|463|
93110||OXR||||OXNARD, CA|OXNARD AIRPORT||34.12|-119.13|65|68|68|
93111|723910|NTD||||POINT MUGU, CA||COMMANDER*NAVAL AIR WARFARE CENTER*WEATHER DIVISION*POINT MUGU, CA  93042-5000|34.07|-119.07|7|12|13|
93112|722906|NZY||||SAN DIEGO, CA|NORTH ISLAND NAS|NAVAL PACIFIC METEOROLOGY AND*OCEANOGRAPHY FACILITY*NORTH ISLAND  BOX 357076*SAN DIEGO  CA  92135-7076|32.42|-117.12|26|26|51|
93115|722909|NRS||||IMPERIAL BEACH, CA|NAVAL AUXILIARY LANDING FD|OLF IMPERIAL BEACH DIVISION*NAVPACMETOCFAC SAN DIEGO*NAS NORTH ISLAND   BOX 357076*SAN DIEGO CA  92135-7076|32.34|-117.07|12|23|18|
93116|722910|NSI||04|7870|SAN NICOLAS ISLAND, CA|San Nicolas Island Naval Outly||33.14|-119.28|502|504|508|
93117|722925|NUC||||SAN CLEMENTE ISLAND, CA|NALF/F. SHERMAN FLD ARPT||33.01|-118.35|0|182|0|
93121|690150|NXP||||TWENTY NINE PALMS, CA||ATTN  WEATHER SERVICE OFFICER*MWSS-173*BOX 788285*29 PALMS  CA  92278-8285|34.18|-116.1|2283|2283|2020|
93129||CDC|04|42|1267|CEDAR CITY, UT|CEDAR CITY REGIONAL ARPT|AFSS*2248 W. KITTY HAWK DR.*CEDER CITY, UT.*84720*|37.42|-113.06|5623|5618|5626|
93132||U28||||GREEN RIVER, UT|Green River||39.00|-110.09|0|4120|0|
93134||CQT|06|04|5115|LOS ANGELES, CA|DOWNTOWN L.A./USC CAMPUS||34.02|-118.18|182|185|185|
93136||MWS||||MOUNT WILSON, CA|Mount Wilson||34.14|-118.04|0|5705|0|
93138||PSP||||PALM SPRINGS, CA|PALM SPRINGS INTL AIRPORT||33.50|-116.31|444|450|447|
93141||PUC||||PRICE, UT|CARBON COUNTY AIRPORT||39.33|-110.45|5874|5856|5877|
93144||VIS||||VISALIA, CA|VISALIA MUNICIPAL AIRPORT||36.19|-119.23|0|0|0|
93167|72370|IGM||02|4645|KINGMAN, AZ|KINGMAN AIRPORT||35.16|-113.56|3384|3446|3387|
93184||SNA||||SANTA ANA, CA|J. WAYNE APT-ORANGE CO APT||33.41|-117.52|49|55|52|
93193|72389|FAT|05|04|3257|FRESNO, CA|FRESNO YOSEMITE INTL ARPT||36.47|-119.43|372|327|375|
93194||IYK||||INYOKERN, CA|Inyokern Airport||35.40|-117.5|0|2455|0|
93197||SMO||||SANTA MONICA, CA|SANTA MONICA MUNI AIRPORT||34.01|-118.27|189|175|192|
93201||TRK||||TRUCKEE, CA|TRUCKEE-TAHOE AIRPORT||39.19|-120.08|0|0|0|
